"BransKodu";"HazineBransAd";"AnaBrans";"SirketBransAd";"TarifeGrubu"
"703";"ZORUNLU DEPREM (DASK)";"YANGIN VE DOĞAL AFETLER";"DASK";"DASK"
"704";"MADEN ÇALIŞANLARI ZORUNLU FERDİ KAZA";"KAZA";"FERDİ KAZA";"DIGER KAZA"
"705";"DOĞRUDAN KEFALET";"KEFALET";"DİĞER KAZA";"DIGER KAZA"
"706";"DOLAYLI KEFALET";"KEFALET";"DİĞER KAZA";"DIGER KAZA"
"707";"DEVLET DESTEKLİ TİCARİ ALACAK SİGORTASI";"KREDİ";"KREDİ";"DIGER KAZA"
"708";"BİNA TAMAMLAMA";"KEFALET";"DİĞER KAZA";"DIGER KAZA"
"718";"OTOBÜS ZORUNLU KOLTUK FERDİ KAZA";"KAZA";"FERDİ KAZA";"DIGER KAZA"
"719";"İŞVEREN MALİ SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"720";"ÜÇÜNCÜ ŞAHISLARA KARŞI MALİ SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"721";"ASANSÖR KAZA ÜÇÜNCÜ ŞAHISLARA KARŞI MALİ SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"722";"ÇEVRE KİRLİLİĞİ MALİ SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"725";"TÜPGAZ ZORUNLU SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"726";"TEHLİKE MADDELER ZORUNLU SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"728";"UÇAK MALİ MESULİYET";"HAVA ARAÇLARI SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"729";"UÇAK YOLCU KAZA";"KAZA";"DİĞER KAZA";"DIGER KAZA"
"730";"TIBBİ KÖTÜ UYGULAMA";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"731";"ÖZEL GÜVENLİK MALİ SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"732";"ZORUNLU SERTİFİKA MALİ SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"733";"MESLEKİ SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"734";"KIYI TESİSLERİ DENİZ KİRLİLİĞİ ZORUNLU MALİ SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"735";"TEKNE SORUMLULUK";"SU ARAÇLARI SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"736";"EMNİYETİ SUİSTİMAL";"KEFALET";"DİĞER KAZA";"DIGER KAZA"
"745";"TAKSİTLİ KREDİ";"KREDİ";"KREDİ";"DIGER KAZA"
"746";"UZUN VADELİ KONUT KREDİSİ";"KREDİ";"KREDİ";"DIGER KAZA"
"747";"TARIM KREDİSİ";"KREDİ";"KREDİ";"DIGER KAZA"
"748";"İSTİHDAM";"FİNANSAL KAYIPLAR";"FİNANSAL KAYIPLAR";"DIGER KAZA"
"749";"GELİR YETERSİZLİĞİ";"FİNANSAL KAYIPLAR";"FİNANSAL KAYIPLAR";"DIGER KAZA"
"751";"UZUN SÜRELİ FERDİ KAZA";"KAZA";"FERDİ KAZA";"DIGER KAZA"
"752";"HAVA ŞARTLARI";"FİNANSAL KAYIPLAR";"FİNANSAL KAYIPLAR";"DIGER KAZA"
"753";"GENEL GİDERLER";"FİNANSAL KAYIPLAR";"FİNANSAL KAYIPLAR";"DIGER KAZA"
"754";"BEKLENMEYEN TİCARİ GİDERLER";"FİNANSAL KAYIPLAR";"FİNANSAL KAYIPLAR";"DIGER KAZA"
"755";"KREDİ";"KREDİ";"KREDİ";"DIGER KAZA"
"756";"İHRACAT KREDİ";"KREDİ";"KREDİ";"DIGER KAZA"
"757";"PİYASA DEĞERİNDEKİ KAYIP";"FİNANSAL KAYIPLAR";"FİNANSAL KAYIPLAR";"DIGER KAZA"
"758";"KİRA VE GELİR KAYBI";"FİNANSAL KAYIPLAR";"FİNANSAL KAYIPLAR";"DIGER KAZA"
"759";"DİĞER FİNANSAL KAYIPLAR";"FİNANSAL KAYIPLAR";"FİNANSAL KAYIPLAR";"DIGER KAZA"
"769";"YAPI DENETİMİ ZORUNLU MALİ SORUMLULUK";"GENEL SORUMLULUK";"FİNANSAL KAYIPLAR";"DIGER KAZA"
"770";"DENİZ YOLU TAŞIMACILIĞI ZMM";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"771";"ÜRÜN SORUMLULUK";"GENEL SORUMLULUK";"DİĞER KAZA";"DIGER KAZA"
"750";"FERDİ KAZA";"KAZA";"FERDİ KAZA";"FERDI KAZA"
"716";"MOTORLU KARA TAŞIT ARAÇLARI İHTİYARİ MALİ SORUMLULUK";"KARA ARAÇLARI SORUMLULUK";"TRAFİK";"KAZA OTO"
"717";"MOTORLU KARA TAŞIT ARAÇLARI KASKO";"KARA ARAÇLARI";"KASKO";"KAZA OTO"
"724";"HIRSIZLIK";"GENEL ZARARLAR";"DİĞER KAZA";"KAZA OTO"
"737";"MOTORLU KARA TAŞITLARI DIŞINDAKİ KARA TAŞITLARI";"KARA ARAÇLARI";"DİĞER KAZA";"KAZA OTO"
"760";"HUKUKSAL KORUMA";"HUKUKSAL KORUMA";"HUKUKSAL KORUMA";"KAZA OTO"
"701";"YANGIN";"YANGIN VE DOĞAL AFETLER";"YANGIN";"MUHENDISLIK"
"765";"MAKİNE KIRILMASI";"GENEL ZARARLAR";"MÜHENDİSLİK";"MUHENDISLIK"
"766";"MONTAJ";"GENEL ZARARLAR";"MÜHENDİSLİK";"MUHENDISLIK"
"767";"İNŞAAT";"GENEL ZARARLAR";"MÜHENDİSLİK";"MUHENDISLIK"
"710";"EMTEA";"NAKLİYAT";"NAKLİYAT";"NAKLIYAT"
"711";"KIYMET";"NAKLİYAT";"NAKLİYAT";"NAKLIYAT"
